variable,speaker,time,word,realization
velar nasals,KT002,3268.39,something,
velar nasals,KT002,3282.17,during,
velar nasals,KT002,3291.88,young,
velar nasals,KT002,3308.77,long,
velar nasals,KT002,3313.69,anything,
velar nasals,KT002,3316.63,anything,
velar nasals,KT002,3325.75,things,
velar nasals,KT002,3339.27,youngest,
velar nasals,KT002,3360.09,things,
velar nasals,KT002,3391.92,going,
velar nasals,KT002,3392.17,along,
velar nasals,KT002,3406.82,controlling,
velar nasals,KT002,3411.31,angry,
velar nasals,KT002,3467.04,everything,
velar nasals,KT002,3575.84,song,
velar nasals,KT002,3605.97,leading,
velar nasals,KT002,3613.65,dancing,
velar nasals,KT002,3619.35,english,
velar nasals,KT002,3633.02,opening,
thr-flapping,KT002,143.37,through,
thr-flapping,KT002,1631.66,three,
thr-flapping,KT002,1697.02,three,
mountain,KT002,910.79,certain,
mountain,KT002,1804.06,mountain,
mountain,KT002,2892.51,certain,
mountain,KT002,3404.55,frightened,
mountain,KT002,3413.91,frightened,
wh aspiration,KT002,16.49,where,
wh aspiration,KT002,30.65,when,
wh aspiration,KT002,45.96,where,
wh aspiration,KT002,56.81,where,
wh aspiration,KT002,59.3,where,
wh aspiration,KT002,64.67,what,
wh aspiration,KT002,73.68,where,
wh aspiration,KT002,80.36,what,
wh aspiration,KT002,81.35,what's,
wh aspiration,KT002,120.1,what,
wh aspiration,KT002,149.46,what,
wh aspiration,KT002,172.39,what,
wh aspiration,KT002,179.72,when,
wh aspiration,KT002,203.58,when,
wh aspiration,KT002,206.7,when,
wh aspiration,KT002,243.36,what,
wh aspiration,KT002,292.31,what,
wh aspiration,KT002,330.08,while,
wh aspiration,KT002,335.71,when,
wh aspiration,KT002,359.75,when,
wh aspiration,KT002,428.22,where,
wh aspiration,KT002,448.89,what,
wh aspiration,KT002,484.8,when,
wh aspiration,KT002,502.37,when,
wh aspiration,KT002,524.62,when,
wh aspiration,KT002,524.99,when,
wh aspiration,KT002,544.99,when,
wh aspiration,KT002,595.5,what,
wh aspiration,KT002,663.72,while,
wh aspiration,KT002,666.61,when,
wh aspiration,KT002,673.97,what,
wh aspiration,KT002,703.12,wheel,
wh aspiration,KT002,726.13,what,
wh aspiration,KT002,730.21,what,
wh aspiration,KT002,814.17,when,
wh aspiration,KT002,818.04,what,
wh aspiration,KT002,857.79,when,
wh aspiration,KT002,898.36,what,
wh aspiration,KT002,911.78,when,
wh aspiration,KT002,934.35,when,
wh aspiration,KT002,957.89,what,
wh aspiration,KT002,977.6,what,
wh aspiration,KT002,1056.42,what,
wh aspiration,KT002,1184.63,where,
wh aspiration,KT002,1268.17,when,
wh aspiration,KT002,1291.04,when,
wh aspiration,KT002,1304.63,when,
wh aspiration,KT002,1327.12,when,
wh aspiration,KT002,1333.6,whether,
wh aspiration,KT002,1363.51,what,
wh aspiration,KT002,1382.47,why,
wh aspiration,KT002,1432.79,which,
wh aspiration,KT002,1485.62,which,
wh aspiration,KT002,1496.16,while,
wh aspiration,KT002,1499.46,when,
wh aspiration,KT002,1504.54,which,
wh aspiration,KT002,1529.65,where,
wh aspiration,KT002,1562.29,what,
wh aspiration,KT002,1573.25,where,
wh aspiration,KT002,1575.95,anywhere,
wh aspiration,KT002,1579.45,what,
wh aspiration,KT002,1590.72,what,
wh aspiration,KT002,1632.95,somewhat,
wh aspiration,KT002,1653.08,when,
wh aspiration,KT002,1726.89,what,
wh aspiration,KT002,1753.9,what,
wh aspiration,KT002,1867.53,what,
wh aspiration,KT002,1868.08,when,
wh aspiration,KT002,1870.39,when,
wh aspiration,KT002,1943.92,what,
wh aspiration,KT002,1960.58,when,
wh aspiration,KT002,1972.14,when,
wh aspiration,KT002,2060.68,when,
wh aspiration,KT002,2087.23,when,
wh aspiration,KT002,2107.52,when,
wh aspiration,KT002,2109.08,where,
